proc_num,batch_size,time1,time2,time3,avgtime(ns),memsize,avg_throughput(gb/s),elesize,avg_throughput(mb/s),avg_throughput(kb/s),avgtime(ms)
1,10000,79934503,80656412,79662318,80084411,7.45058E-05,0.000930341,8,0.952669119,975.5331784,80.084411
1,20000,442909471,417536548,423805094,428083704.3,0.000149012,0.00034809,8,0.356444053,364.9987103,428.0837043
1,40000,2010300761,2019698583,2017780170,2015926505,0.000298023,0.000147834,8,0.151382394,155.0155719,2015.926505
1,80000,8741196504,8762255708,8885275554,8796242589,0.000596046,6.77615E-05,8,0.069387759,71.05306541,8796.242589
1,160000,36693383059,36755963313,36493107750,36647484707,0.001192093,3.25286E-05,8,0.033309329,34.10875289,36647.48471
1,320000,1.48493E+11,1.47891E+11,1.4789E+11,1.48091E+11,0.002384186,1.60995E-05,8,0.016485849,16.88150908,148091.026
1,640000,5.89035E+11,5.89035E+11,5.89035E+11,5.89035E+11,0.004768372,8.09523E-06,8,0.008289517,8.488465457,589034.6171
1,1280000,1,,,1,0.009536743,9536743.164,8,9765625000,1E+13,0.000001
2,10000,46897440,46809528,47346793,47017920.33,7.45058E-05,0.001584626,8,1.62265674,1661.600501,47.01792033
2,20000,210834112,204922812,209655370,208470764.7,0.000149012,0.000714784,8,0.731939036,749.5055734,208.4707647
2,40000,941840722,961931644,945635160,949802508.7,0.000298023,0.000313774,8,0.321304459,329.0157661,949.8025087
2,80000,4098574069,4082111704,4130446619,4103710797,0.000596046,0.000145246,8,0.148731622,152.3011808,4103.710797
2,160000,17694214651,17789119006,17644051982,17709128546,0.001192093,6.73152E-05,8,0.068930728,70.58506559,17709.12855
2,320000,73742838620,73416051477,73561217678,73573369258,0.002384186,3.24056E-05,8,0.033183287,33.9796862,73573.36926
2,640000,2.97741E+11,2.96967E+11,2.96542E+11,2.97083E+11,0.004768372,1.60506E-05,8,0.016435838,16.83029839,297083.2652
2,1280000,1,,,1,0.009536743,9536743.164,8,9765625000,1E+13,0.000001
4,10000,27196832,27586724,27292273,27358609.67,7.45058E-05,0.002723304,8,2.788663102,2855.591017,27.35860967
4,20000,121005298,120950612,122136589,121364166.3,0.000149012,0.001227806,8,1.257273009,1287.447562,121.3641663
4,40000,571489552,587481609,584303297,581091486,0.000298023,0.000512868,8,0.525176824,537.7810681,581.091486
4,80000,2591120953,2602348114,2634807909,2609425659,0.000596046,0.000228421,8,0.233902645,239.5163081,2609.425659
4,160000,11248649144,11333776924,11267937247,11283454438,0.001192093,0.00010565,8,0.108185231,110.7816766,11283.45444
4,320000,47851897856,47676138346,47783144620,47770393607,0.002384186,4.99093E-05,8,0.051107099,52.33366969,47770.39361
4,640000,1.95426E+11,1.95831E+11,1.95293E+11,1.95517E+11,0.004768372,2.43886E-05,8,0.024973908,25.5732823,195516.5528
4,1280000,1,,,1,0.009536743,9536743.164,8,9765625000,1E+13,0.000001
8,10000,18445104,18321905,18674658,18480555.67,7.45058E-05,0.004031578,8,4.128336111,4227.416178,18.48055567
8,20000,67047980,68467538,68649004,68054840.67,0.000149012,0.002189581,8,2.242131333,2295.942485,68.05484067
8,40000,312281022,316265937,315174018,314573659,0.000298023,0.000947388,8,0.970125033,993.4080336,314.573659
8,80000,1495726831,1503090357,1507174456,1501997215,0.000596046,0.000396836,8,0.406359983,416.1126225,1501.997215
8,160000,6657377807,6694593841,6650639814,6667537154,0.001192093,0.000178791,8,0.183081563,187.4755207,6667.537154
8,320000,28160545740,28003382854,28106401162,28090109919,0.002384186,8.48763E-05,8,0.086913375,88.99929574,28090.10992
8,640000,1.16264E+11,1.16766E+11,1.16612E+11,1.16547E+11,0.004768372,4.09137E-05,8,0.041895597,42.90109106,116547.1524
8,1280000,4.73402E+11,,,4.73402E+11,0.009536743,2.01451E-05,8,0.020628621,21.12370797,473401.7349
16,10000,13113312,12042108,12752853,12636091,7.45058E-05,0.00589627,8,6.037780617,6182.687352,12.636091
16,20000,37254264,35917319,37679583,36950388.67,0.000149012,0.004032748,8,4.129534117,4228.642936,36.95038867
16,40000,150660581,145770136,150005186,148811967.7,0.000298023,0.002002683,8,2.050747571,2099.965513,148.8119677
16,80000,726235833,716592712,725104883,722644476,0.000596046,0.000824813,8,0.844608356,864.8789561,722.644476
16,160000,3486192098,3484832070,3493382290,3488135486,0.001192093,0.000341756,8,0.349958633,358.3576398,3488.135486
16,320000,15383411771,15298651069,15341281629,15341114823,0.002384186,0.000155412,8,0.159141384,162.9607775,15341.11482
16,640000,63936523667,63845461189,63896357684,63892780847,0.004768372,7.46308E-05,8,0.076421975,78.25610239,63892.78085
16,1280000,2.62979E+11,,,2.62979E+11,0.009536743,3.62643E-05,8,0.037134641,38.02587223,262978.8461
32,10000,11534219,11164509,11277894,11325540.67,7.45058E-05,0.006578565,8,6.736450608,6898.125423,11.32554067
32,20000,26993714,26107227,26043520,26381487,0.000149012,0.00564834,8,5.783900302,5922.713909,26.381487
32,40000,77664365,75708499,75728752,76367205.33,0.000298023,0.003902503,8,3.99616275,4092.070656,76.36720533
32,80000,302576001,304083743,302157565,302939103,0.000596046,0.001967545,8,2.014766521,2063.120917,302.939103
32,160000,1566311558,1567982952,1565609197,1566634569,0.001192093,0.000760926,8,0.779188171,797.8886875,1566.634569
32,320000,7609713909,7578461906,7644209941,7610795252,0.002384186,0.000313264,8,0.320782017,328.4807852,7610.795252
32,640000,33162244445,33163253467,33075567922,33133688611,0.004768372,0.000143913,8,0.147367006,150.9038145,33133.68861
32,1280000,1.38033E+11,,,1.38033E+11,0.009536743,6.90905E-05,8,0.070748659,72.44662719,138032.6509
64,10000,76134800,75580640,78672367,76795935.67,7.45058E-05,0.000970179,8,0.993463321,1017.306441,76.79593567
64,20000,99528532,95966688,96590812,97362010.67,0.000149012,0.00153049,8,1.567222057,1604.835386,97.36201067
64,40000,128162849,133278859,146473763,135971823.7,0.000298023,0.002191801,8,2.244404561,2298.270271,135.9718237
64,80000,237729241,244676307,238358931,240254826.3,0.000596046,0.002480893,8,2.540434137,2601.404557,240.2548263
64,160000,720646647,731756965,715770242,722724618,0.001192093,0.001649443,8,1.689029396,1729.566101,722.724618
64,320000,3357446896,3326558306,3366517007,3350174070,0.002384186,0.00071166,8,0.728740119,746.2298818,3350.17407
64,640000,16097917355,16070434373,16027757006,16065369578,0.004768372,0.000296811,8,0.303934029,311.2284455,16065.36958
64,1280000,69301432925,,,69301432925,0.009536743,0.000137612,8,0.140915196,144.2971606,69301.43293
128,10000,90672659,87363975,,89018317,7.45058E-05,0.000836972,8,0.85705895,877.628365,89.018317
128,20000,169885828,160270900,,165078364,0.000149012,0.000902672,8,0.924336097,946.520163,165.078364
128,40000,213149054,208034614,,210591834,0.000298023,0.00141517,8,1.449133974,1483.913189,210.591834
128,80000,277529806,281901752,,279715779,0.000596046,0.0021309,8,2.182041945,2234.410952,279.715779
128,160000,521574408,521848868,,521711638,0.001192093,0.002284965,8,2.339804283,2395.959586,521.711638
128,320000,1516924398,1502839094,,1509881746,0.002384186,0.001579055,8,1.616951961,1655.758808,1509.881746
128,640000,7085129322,7034083438,,7059606380,0.004768372,0.000675444,8,0.691655064,708.2547852,7059.60638
128,1280000,33217886468,,,33217886468,0.009536743,0.000287097,8,0.293986946,301.0426328,33217.88647