proc_num,batch_size,avg_throughput(kb/s),avgtime(ms)
1,10000,975.5331784,80.084411
1,20000,364.9987103,428.0837043
1,40000,155.0155719,2015.926505
1,80000,71.05306541,8796.242589
1,160000,34.10875289,36647.48471
1,320000,16.88150908,148091.026
1,640000,8.488465457,589034.6171
2,10000,1661.600501,47.01792033
2,20000,749.5055734,208.4707647
2,40000,329.0157661,949.8025087
2,80000,152.3011808,4103.710797
2,160000,70.58506559,17709.12855
2,320000,33.9796862,73573.36926
2,640000,16.83029839,297083.2652
4,10000,2855.591017,27.35860967
4,20000,1287.447562,121.3641663
4,40000,537.7810681,581.091486
4,80000,239.5163081,2609.425659
4,160000,110.7816766,11283.45444
4,320000,52.33366969,47770.39361
4,640000,25.5732823,195516.5528
8,10000,4227.416178,18.48055567
8,20000,2295.942485,68.05484067
8,40000,993.4080336,314.573659
8,80000,416.1126225,1501.997215
8,160000,187.4755207,6667.537154
8,320000,88.99929574,28090.10992
8,640000,42.90109106,116547.1524
16,10000,6182.687352,12.636091
16,20000,4228.642936,36.95038867
16,40000,2099.965513,148.8119677
16,80000,864.8789561,722.644476
16,160000,358.3576398,3488.135486
16,320000,162.9607775,15341.11482
16,640000,78.25610239,63892.78085
32,10000,6898.125423,11.32554067
32,20000,5922.713909,26.381487
32,40000,4092.070656,76.36720533
32,80000,2063.120917,302.939103
32,160000,797.8886875,1566.634569
32,320000,328.4807852,7610.795252
32,640000,150.9038145,33133.68861
64,10000,1017.306441,76.79593567
64,20000,1604.835386,97.36201067
64,40000,2298.270271,135.9718237
64,80000,2601.404557,240.2548263
64,160000,1729.566101,722.724618
64,320000,746.2298818,3350.17407
64,640000,311.2284455,16065.36958
128,10000,877.628365,89.018317
128,20000,946.520163,165.078364
128,40000,1483.913189,210.591834
128,80000,2234.410952,279.715779
128,160000,2395.959586,521.711638
128,320000,1655.758808,1509.881746
128,640000,708.2547852,7059.60638